canonical_label,csv_label_name,data_classification,category_type,csv_note_aliases,positive_triggers,value_patterns,example_surface_forms,negative_triggers,rule_mode,rule_safe,needs_context,priority,auto_redact_default,implementation_phase,training_template_notes
ABORIGINALITY,Aboriginality,Highly Protected,Core attributes of a person,First Nations; Indigenous; Aboriginal,Aboriginality; First Nations; Indigenous; Aboriginal,FREE_TEXT_OR_CONTEXT,Aboriginality: <value>; Aboriginality noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,semantic_or_context_required,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
AUDIO_INFORMATION,Audio Information,Protected,Tracking/Monitoring,Audible Information; Sound Information,audio; information,NON_TEXT_OR_BIOMETRIC_ARTIFACT,AUDIO_INFORMATION: attached file / biometric artifact reference; audio information noted in record,text-only mention in policy; generic documentation; public example,not_text_span_or_metadata_only,no,yes,20,review,out_of_scope_text_only,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
BANK_ACCOUNT_INFORMATION,Bank Account Information,Protected,Payment,Banking account information; bankaccountinformation,bank; bank name; account name; payee name; banking details; bank details; BSB; branch; account holder,BANK_NAME_TEXT; ACCOUNT_NAME_TEXT; BSB,Bank: Southern Mutual Bank; account name: Aisha Kareem; bank details BSB 733-041 account 0088199244,invoice; ticket; receipt; reference; test token; placeholder,context_required,partial,yes,72,review_for_text_bank_names,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
AU_BANK_ACCOUNT,Bank Account Number,Highly Protected,Payment,banking account number; BAN; bankaccountnumber; BSB; Account Number; ACC,acct; account; account no; account number; acc no; bank account; refund account; account details; payee account,BANK_ACCOUNT_GROUPED_6_10; BANK_ACCOUNT_COMPACT_6_10,acct: 0088 1992 44; account number 123456789; refund account: 0088199244; ACC no. 1234 5678; payee acct 001234567,invoice; receipt; ticket; reference; ref; student id; sid; uac; phone; mobile; permit; claim; room; order id; system-generated,context_required,yes,yes,86,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
CAMERA_FOOTAGE_AUDIO,Camera footage Audio,Protected,Tracking/Monitoring,Video audio,camera; footage; audio,NON_TEXT_OR_BIOMETRIC_ARTIFACT,CAMERA_FOOTAGE_AUDIO: attached file / biometric artifact reference; camera footage audio noted in record,text-only mention in policy; generic documentation; public example,not_text_span_or_metadata_only,no,yes,20,review,out_of_scope_text_only,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
CARING_RESPONSIBILITIES,Caring responsibilities,Protected,Core attributes of a person,Carer; Parent,caring responsibilities; carer; parent; guardian duties; cares for; caring duties; caregiver,CARING_RESPONSIBILITY_TEXT,cares for younger sibling after school; has shared caring duties; parent/carer responsibilities,job title carer in generic text; course about caring,semantic,partial,yes,54,review,training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
CENTRELINK_REFERENCE_NUMBER,Centrelink Reference Number,Highly Protected,Government,Centrelink Number; CentrelinkNumber; centrelinkreferencenumber,centrelink; centrelink reference; centrelink number; crn; centrelink ref,CENTRELINK_CRN,Centrelink ref: CRN 455 220 991A; Centrelink Reference Number 455220991A,invoice; ticket; reference without centrelink,context_required,yes,yes,88,yes,phase_1,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
CITIZENSHIP_STATUS,Citizenship Status,Protected,Government,citizenshipstatus,citizenship status; citizen; permanent resident; temporary visa holder; visa status; residency status; PR,CITIZENSHIP_TEXT,Citizenship Status: Permanent Resident; temporary visa holder; Australian citizen; PR,nationality; country of origin; passport nationality; course citizenship topic,context_required_semantic,partial,yes,57,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
CONTRACT_TYPE,Contract Type - Fixed Term / Temporary / Permanent etc.,Protected,Income Related,contracttype; contract; fixedcontract; temporarycontract; permanentcontract,contract type; contract; fixed-term; fixed term; temporary; permanent; casual; ongoing; 0.6 fte; fte,CONTRACT_TYPE_TEXT,"Contract type: fixed-term, 0.6 FTE; position: permanent full-time; temporary contract",contract number; contract id; document ref,context_required,partial,yes,61,review,phase_2,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
COOKIE_INFORMATION,Cookie Information,Protected,Tracking/Monitoring,cookies; cookieinformation; cookiedetails,Cookie Information; cookies; cookieinformation; cookiedetails,FREE_TEXT_OR_CONTEXT,Cookie Information: <value>; Cookie Information noted in free text,invoice; receipt; ticket; reference; placeholder; example; public aggregate; policy-only mention,context_required_or_pattern,partial,yes,50,review,phase_3_or_training,"Generate formal forms, messy notes, chat snippets, multi-person variants, and hard negatives using listed triggers."
